Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,11 Jumaada al-THaany 1425 A.H,Working Day,No Info,8:50:PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,None,2.0,3.0,0.0,3,2.0,0 Kg,CMH Kohat,32.43,90.374,,,,2,1,3
,13 Jumaada al-THaany 1425 A.H,Working Day,No Info,7:20 PM,Attock ,33.7645,72.3667,Punjab, Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally ,Government Official,None,0.0,7.0,44.0,70,1.0,0 Kg,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997,,,,4,1,-1
,17 SHa`baan 1425 A.H,Working Day,No Info,1:27 PM/1:25 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25.0,31.0,50.0,75,1.0,0 Kg,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518,,,,4,-1,-1
,26 SHa`baan 1425 A.H.,Holiday,Weekend,5:55:00/6:40:00 PM,Lahore ,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4.0,5.0,6.0,10,1.0,0 Kg,Mayo Hospital ,24.39,75.902,,,,2,1,-1
,9 safar 1426 A.H,Working Day,No Info,11.45PM /10.30 pm,Quetta,30.2095,67.0182,Baluchistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25.0,50.0,8.0,100,1.0,0 Kg,Unknown,16.5,61.7,,,,2,1,-1
,19 Raby` al-awal 1426 A.H,Working Day,No Info,Unknown,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat ,Park/Ground,Low,Open,None,civilian,None,0.0,2.0,0.0,0,1.0,0 Kg,Unknown,19.935,67.883,,,,2,1,4
2005-05-27,19 Raby` al-THaany 1426 A.H,Working Day,No Info,11:00:00 AM,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20.0,25.0,82.0,100,1.0,0 Kg,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888,2005.0,5.0,Friday,1,1,-1
2005-05-30,22 Raby` al-THaany 1426 A.H,Working Day,No Info,evening,Karachi ,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,Medium,Closed,evening prayer,Religious,shiite,5.0,6.0,19.0,30,1.0,0 Kg,1. Patel Hospital 2. JMPC,31.945,89.501,2005.0,5.0,Monday,2,1,-1
,10 MuHarram 1427 A.H,Holiday,Ashura,9:35:00 AM,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Park/Ground,Low,Open,Ashura Day,Religious,Shiite,37.0,40.0,90.0,0,1.0,0 Kg,Hangu Hospital ,15.495,59.891,,,,1,1,-1
,2 safar 1427 A.H.,Working Day,No Info,9:00:00 AM,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4.0,5.0,30.0,54,1.0,10-15 kg,Unknown,25.3,77.54,,,,4,1,-1
